CID,Compound_Name,SMILES,Flavor_Description,Source
4,1-aminopropan-2-ol,CC(CN)O,ammonia; fishy,FlavorDB
40,mls002638629,C1C(C(C(OC1O)CO)O)O,sweet,FlavorDB
47,3-methyl-2-oxovaleric acid,CCC(C)C(=O)C(=O)O,fruity,FlavorDB
49,3-methyl-2-oxobutanoic acid,CC(C)C(=O)C(=O)O,fruity,FlavorDB
51,2-ketoglutaric acid,C(CC(=O)O)C(=O)C(=O)O,odorless,FlavorDB
58,2-oxobutanoic acid,CCC(=O)C(=O)O,creamy;brown;savory;sweet;lactonic;caramel,FlavorDB
70,4-methyl-2-oxopentanoic acid,CC(C)CC(=O)C(=O)O,fruity,FlavorDB
72,"3,4-dihydroxybenzoic acid",C1=CC(=C(C=C1C(=O)O)O)O,balsamic;can;phenolic;sweet;low;used,FlavorDB
73,"adenosine-3',5'-bisphosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,sweet,FlavorDB
107,hydrocinnamic acid,C1=CC=C(C=C1)CCC(=O)O,rose;balsamic;musk;cinnamon;fatty;sweet,FlavorDB
119,4-aminobutyric acid,C(CC(=O)O)CN,savory;meaty,FlavorDB
125,4-hydroxybenzyl alcohol,C1=CC(=CC=C1CO)O,nutty;coconut;fruity;almond;sweet;bitter,FlavorDB
126,4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,woody;nutty;almond;sweet;roasted;balsam,FlavorDB
135,4-hydroxybenzoic acid,C1=CC(=CC=C1C(=O)O)O,nutty;phenolic,FlavorDB
176,acetic acid,CC(=O)O,vinegar;pungent;sour; vinegar;pungent;fruity;acid;sour,FlavorDB
177,acetaldehyde,CC=O,fruity;pleasant;pungent; floral;pungent;green;ethereal;ether;whiskey;fruity;apple;aldehydic,FlavorDB
178,acetamide,CC(=O)N,odorless;mousy; mousy,FlavorDB
179,acetoin,CC(C(=O)C)O,yogurt;woody;bland;buttery; creamy;green;fatty;sweet;buttery;dairy;pepper;milky,FlavorDB
180,acetone,CC(=O)C,characteristic;fruity; pungent;ethereal;solvent;apple;pear,FlavorDB
188,"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate",CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,sweet,FlavorDB
191,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,sweet,FlavorDB
