Compound_Name,CAS_Number,Flavor_Description,Source
trimethylamine,75-50-3,fish,Flavornet
ethanal,75-07-0,"pungent, ether",Flavornet
methanethiol,74-93-1,"sulfur, gasoline, garlic",Flavornet
propanal,123-38-6,"solvent, pungent",Flavornet
pentane,109-66-0,alkane,Flavornet
propanol,71-23-8,"alcohol, pungent",Flavornet
dimethyl sulfide,75-18-3,"cabbage, sulfur, gasoline",Flavornet
ethyl formate,109-94-4,pungent,Flavornet
methyl ethyl ketone,78-93-3,ether,Flavornet
methyl ethyl sulfide,624-89-5,"sulfur, garlic",Flavornet
hexane,110-54-3,alkane,Flavornet
ethyl acetate,141-78-6,pineapple,Flavornet
methylbutenol,115-18-4,herb,Flavornet
pentanone,96-22-0,ether,Flavornet
isobutanol,78-83-1,"wine, solvent, bitter",Flavornet
trans-crotonaldehyde,123-73-9,flower,Flavornet
methylpentanone,565-69-5,mint,Flavornet
methylbutanal,96-17-3,"cocoa, almond",Flavornet
methylbutanal,590-86-3,malt,Flavornet
pyrrolidine,123-75-1,alkaline,Flavornet
ethanol,64-17-5,sweet,Flavornet
thiophene,110-02-1,garlic,Flavornet
propanoic acid,79-09-4,"pungent, rancid, soy",Flavornet
diacetyl,431-03-8,butter,Flavornet
methyl methylbutanoate,556-24-1,apple,Flavornet
butanol,71-36-3,"medicine, fruit",Flavornet
butanol,78-92-2,wine,Flavornet
mercaptoacetaldehyde,4124-63-4,cabbage,Flavornet
butanal,123-72-8,"pungent, green",Flavornet
pentenone,1629-58-9,"fish, pungent",Flavornet
methyl methylpropanoate,547-63-7,flower,Flavornet
methyl thiocyanate,556-64-9,sulfur,Flavornet
"2,3-pentadione",600-14-6,"cream, butter",Flavornet
pentenol,616-25-1,"butter, pungent",Flavornet
butyric acid,107-92-6,"rancid, cheese, sweat",Flavornet
hexanone,589-38-8,"ether, grape",Flavornet
"alpha,γ-dimethylallyl alcohol",1569-50-2,"green, vinyl",Flavornet
ethyl propionate,105-37-3,fruit,Flavornet
heptane,142-82-5,alkane,Flavornet
acetoin,513-86-0,"butter, cream",Flavornet
methyl butanoate,623-42-7,"ether, fruit, sweet",Flavornet
acetic acid,64-19-7,sour,Flavornet
diethyl acetal,105-57-7,"fruit, cream",Flavornet
2-methyl-1-butanol,1565-80-6,malt,Flavornet
dimethyl disulfide,624-92-0,"onion, cabbage, putrid",Flavornet
hexanone,591-78-6,ether,Flavornet
methyl-2-butenal,1115-11-3,"green, fruit",Flavornet
3-methyl-1-butanol,123-51-3,"whiskey, malt, burnt",Flavornet
pentanone,107-87-9,"ether, fruit",Flavornet
pentenal,1576-87-0,"strawberry, fruit, tomato",Flavornet
2-methyl-1-butanol,137-32-6,"wine, onion",Flavornet
pentanol,584-02-1,fruit,Flavornet
fucoserratene,33580-05-1,"green, plastic",Flavornet
hexenone,1629-60-3,"cooked vegetable, metal",Flavornet
methylthiophene,554-14-3,sulfur,Flavornet
pentanol,71-41-0,balsamic,Flavornet
(Z)-2-penten-1-ol,1576-95-0,"green, plastic, rubber",Flavornet
epoxylinalool,14049-11-7,flower,Flavornet
methylpentanol,590-36-3,pungent,Flavornet
toluene,108-88-3,paint,Flavornet
isobutyl acetate,110-19-0,"fruit, apple, banana",Flavornet
methyl-2-butenol,556-82-1,herb,Flavornet
methyl methylbutyrate,868-57-5,apple,Flavornet
ethyl isobutyrate,97-62-1,"sweet, rubber",Flavornet
1-hexenol,4798-44-1,green,Flavornet
hexanal,66-25-1,"grass, tallow, fat",Flavornet
4-methyl-3-penten-2-one,141-79-7,"sweet, chemical",Flavornet
3-hexenal,6789-80-6,"leaf, green",Flavornet
thiophane,110-01-0,cabbage,Flavornet
m-xylene,108-38-3,plastic,Flavornet
hydroxypentanone,3142-66-3,"herb, truffle",Flavornet
mercaptobutanone,40789-98-8,onion,Flavornet
isobutyraldehyde,78-84-2,"pungent, malt, green",Flavornet
ethyl butyrate,105-54-4,apple,Flavornet
butanediol,513-85-9,"fruit, onion",Flavornet
pentanal,110-62-3,"almond, malt, pungent",Flavornet
propyl propanoate,106-36-5,pineapple,Flavornet
nonenone,5009-32-5,baked,Flavornet
octane,111-65-9,alkane,Flavornet
butyl acetate,123-86-4,pear,Flavornet
furfural,98-01-1,"bread, almond, sweet",Flavornet
methylbutenthiol,5287-45-6,"amine, smoke",Flavornet
hydroxypentanone,5704-20-1,"truffle, earth, nut",Flavornet
azine,110-86-1,rancid,Flavornet
methyl pyrazine,109-08-0,popcorn,Flavornet
ethoxypropanol,111-35-3,fruit,Flavornet
1-(methylthio)ethanethiol,31331-53-0,thiamin,Flavornet
2-hexenal,6728-26-3,"apple, green",Flavornet
(E)-2-hexenal,85761-70-2,"green, leaf",Flavornet
(2S)-2-methyl-ethyl ester-butanoic acid,10307-61-6,apple,Flavornet
isopropyl butanoate,638-11-9,"pungent, fruit",Flavornet
furfuryl alcohol,98-00-0,burnt,Flavornet
ethyl methylbutyrate,7452-79-1,apple,Flavornet
ethyl 3-methylbutanoate,108-64-5,fruit,Flavornet
2-hexenal,505-57-7,"fat, rancid",Flavornet
isovaleric acid,503-74-2,"sweat, acid, rancid",Flavornet
methylfuranthiol,28588-74-1,meat,Flavornet
(Z)-3-hexenol,928-96-1,grass,Flavornet
