Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
trimethylamine,75-50-3,fish,312,329,420,677
ethanal,75-07-0,"pungent, ether",418,427,518,714
methanethiol,74-93-1,"sulfur, gasoline, garlic",483,500,591,696
propanal,123-38-6,"solvent, pungent",489,506,597,571
pentane,109-66-0,alkane,500,500,500,500
propanol,71-23-8,"alcohol, pungent",519,536,627,1037
dimethyl sulfide,75-18-3,"cabbage, sulfur, gasoline",527,505,596,716
ethyl formate,109-94-4,pungent,530,547,591,848
methyl ethyl ketone,78-93-3,ether,580,597,688,945
methyl ethyl sulfide,624-89-5,"sulfur, garlic",592,609,700,957
hexane,110-54-3,alkane,600,600,600,600
ethyl acetate,141-78-6,pineapple,602,628,719,907
methylbutenol,115-18-4,herb,603,620,711,968
pentanone,96-22-0,ether,619,636,727,984
isobutanol,78-83-1,"wine, solvent, bitter",630,647,738,1099
trans-crotonaldehyde,123-73-9,flower,631,648,739,1047
methylpentanone,565-69-5,mint,638,655,746,1003
methylbutanal,96-17-3,"cocoa, almond",639,641,729,912
methylbutanal,590-86-3,malt,641,650,728,910
pyrrolidine,123-75-1,alkaline,643,660,751,1008
ethanol,64-17-5,sweet,649,668,759,929
thiophene,110-02-1,garlic,650,667,734,991
propanoic acid,79-09-4,"pungent, rancid, soy",651,668,759,1523
diacetyl,431-03-8,butter,655,593,692,970
methyl methylbutanoate,556-24-1,apple,657,674,765,1022
butanol,71-36-3,"medicine, fruit",658,675,783,1145
butanol,78-92-2,wine,659,676,767,1024
mercaptoacetaldehyde,4124-63-4,cabbage,660,677,768,1025
butanal,123-72-8,"pungent, green",662,596,687,832
pentenone,1629-58-9,"fish, pungent",663,680,775,973
methyl methylpropanoate,547-63-7,flower,668,685,744,927
methyl thiocyanate,556-64-9,sulfur,668,685,776,1033
"2,3-pentadione",600-14-6,"cream, butter",669,700,791,1054
pentenol,616-25-1,"butter, pungent",669,686,777,1157
butyric acid,107-92-6,"rancid, cheese, sweat",681,820,1000,1619
hexanone,589-38-8,"ether, grape",695,712,803,1060
"alpha,γ-dimethylallyl alcohol",1569-50-2,"green, vinyl",695,712,803,1060
ethyl propionate,105-37-3,fruit,696,713,765,951
heptane,142-82-5,alkane,700,700,700,700
acetoin,513-86-0,"butter, cream",701,718,809,1287
methyl butanoate,623-42-7,"ether, fruit, sweet",706,723,814,990
acetic acid,64-19-7,sour,710,600,809,1450
diethyl acetal,105-57-7,"fruit, cream",717,734,825,900
2-methyl-1-butanol,1565-80-6,malt,722,739,852,1109
dimethyl disulfide,624-92-0,"onion, cabbage, putrid",725,785,794,1071
hexanone,591-78-6,ether,726,792,883,1140
methyl-2-butenal,1115-11-3,"green, fruit",736,753,844,1101
3-methyl-1-butanol,123-51-3,"whiskey, malt, burnt",736,736,844,1205
pentanone,107-87-9,"ether, fruit",737,711,802,983
pentenal,1576-87-0,"strawberry, fruit, tomato",737,754,867,1131
2-methyl-1-butanol,137-32-6,"wine, onion",738,755,846,1208
pentanol,584-02-1,fruit,742,759,850,1107
fucoserratene,33580-05-1,"green, plastic",743,760,851,1108
hexenone,1629-60-3,"cooked vegetable, metal",747,775,865,1106
methylthiophene,554-14-3,sulfur,748,765,827,1084
pentanol,71-41-0,balsamic,749,766,857,1255
(Z)-2-penten-1-ol,1576-95-0,"green, plastic, rubber",750,767,858,1115
epoxylinalool,14049-11-7,flower,750,767,858,1115
methylpentanol,590-36-3,pungent,751,768,859,1116
toluene,108-88-3,paint,756,773,785,1042
isobutyl acetate,110-19-0,"fruit, apple, banana",759,776,867,1015
methyl-2-butenol,556-82-1,herb,762,779,870,1127
methyl methylbutyrate,868-57-5,apple,764,776,837,1015
ethyl isobutyrate,97-62-1,"sweet, rubber",767,756,808,955
1-hexenol,4798-44-1,green,772,789,880,
hexanal,66-25-1,"grass, tallow, fat",772,801,881,1084
4-methyl-3-penten-2-one,141-79-7,"sweet, chemical",781,798,889,1139
3-hexenal,6789-80-6,"leaf, green",783,800,884,1146
thiophane,110-01-0,cabbage,785,802,893,1150
m-xylene,108-38-3,plastic,785,802,893,1150
hydroxypentanone,3142-66-3,"herb, truffle",786,803,894,1151
mercaptobutanone,40789-98-8,onion,787,804,895,1152
isobutyraldehyde,78-84-2,"pungent, malt, green",789,662,753,821
ethyl butyrate,105-54-4,apple,789,804,863,1028
butanediol,513-85-9,"fruit, onion",789,806,897,1583
pentanal,110-62-3,"almond, malt, pungent",791,732,767,935
propyl propanoate,106-36-5,pineapple,795,812,903,1160
nonenone,5009-32-5,baked,795,812,903,1160
octane,111-65-9,alkane,800,800,800,800
butyl acetate,123-86-4,pear,800,816,907,1075
furfural,98-01-1,"bread, almond, sweet",800,829,965,1455
methylbutenthiol,5287-45-6,"amine, smoke",804,821,874,1098
hydroxypentanone,5704-20-1,"truffle, earth, nut",805,822,913,1170
azine,110-86-1,rancid,805,822,913,1170
methyl pyrazine,109-08-0,popcorn,811,828,919,1176
ethoxypropanol,111-35-3,fruit,816,833,924,1181
1-(methylthio)ethanethiol,31331-53-0,thiamin,826,843,934,1191
2-hexenal,6728-26-3,"apple, green",826,854,957,1220
(E)-2-hexenal,85761-70-2,"green, leaf",827,844,935,1192
(2S)-2-methyl-ethyl ester-butanoic acid,10307-61-6,apple,831,848,939,1042
isopropyl butanoate,638-11-9,"pungent, fruit",832,847,938,1195
furfuryl alcohol,98-00-0,burnt,834,851,942,1199
ethyl methylbutyrate,7452-79-1,apple,835,846,907,1050
ethyl 3-methylbutanoate,108-64-5,fruit,837,854,909,1060
2-hexenal,505-57-7,"fat, rancid",839,856,947,1204
isovaleric acid,503-74-2,"sweat, acid, rancid",840,877,1040,1665
methylfuranthiol,28588-74-1,meat,844,868,924,1307
(Z)-3-hexenol,928-96-1,grass,844,858,971,1391
methylbutanone,563-80-4,camphor,849,866,957,1214
heptenone,2918-13-0,metal,856,873,964,1221
methylbutyric acid,116-53-0,"cheese, sweat",856,873,1040,1662
hexanol,111-27-3,"resin, flower, green",858,851,990,1360
heptanol,589-82-2,herb,860,877,968,1225
dimethylthiazole,541-58-2,"rubber, mold",861,878,969,1226
isoamyl acetate,123-92-2,banana,862,876,938,1117
2-methylbutyl acetate,624-41-9,fruit,863,880,971,1116
2-hexenol,928-94-9,"leaf, green, wine, fruit",863,880,971,1228
methional,3268-49-3,cooked potato,864,909,1041,1458
o-picoline,109-06-8,sweat,869,886,977,1234
"allyl isothiocyanate, allyspol",57-06-7,"sulfur, pungent, garlic",870,887,978,1235
(E)-2-hexenol,928-95-0,"green, leaf, walnut",870,853,944,1377
o-xylene,95-47-6,geranium,871,888,979,1183
heptanone,110-43-0,soap,872,895,975,1170
mercaptopentanone,67633-97-0,"sulfur, onion, meat",875,898,978,1235
styrene,100-42-5,"balsamic, gasoline",876,893,984,1241
acetylfuran,1192-62-7,balsamic,876,893,1233,1490
methyl-2-(methylthio)acetate,16630-66-3,"cooked potato, roasted nut",877,894,985,1242
propyl butyrate,105-66-8,"pineapple, solvent",881,880,971,1228
ethyl valerate,539-82-2,"yeast, fruit",883,900,962,1133
mercaptopentanone,17042-24-9,roasted meat,883,900,991,1248
methyltetrahydrofuranthiol,26548-78-7,onion,884,901,992,1315
heptanal,111-71-7,"fat, citrus, rancid",885,903,985,1174
4-heptenal,6728-31-0,"biscuit, cream",885,902,983,1230
bornyl methyl ether,10395-54-7,"earth, must",887,904,995,1252
dimethyl pyrazine,123-32-0,"cocoa, roasted nut, roast beef, medicine",888,905,996,1253
dimethyl pyrazine,108-50-9,"roasted nut, cocoa, roast beef",889,913,991,1308
ethyl pyrazine,13925-00-3,"peanut butter, wood",890,907,1097,1354
caproic acid,142-62-1,sweat,890,1019,1186,1829
"2,4-hexadienal",80466-34-8,green,893,910,1001,1258
pentanoic acid,109-52-4,sweat,894,911,1084,1090
dimethyl pyrazine,5910-89-4,"nut, peanut butter, cocoa, meat",894,892,983,1240
4-methylhexanol,818-49-5,sweat,894,911,1002,1259
fufuryl mercaptan,98-02-2,"coffee, roast",895,912,985,1432
1-cyclohexen-3-one,930-68-7,pesticide,897,914,1005,1262
acetylpyrroline,85213-22-5,"nut, roast",898,923,1013,1320
nonane,111-84-2,alkane,900,900,900,900
methoxymethylbutanethiol,94087-83-9,"cat, black currant",900,917,984,1221
ethyl mercaptopropionate,19788-49-9,sulfur,901,918,1009,1266
dimethylthiazole,3581-91-7,"roast, smoke",906,928,1019,1276
dimethyl sulfone,67-71-0,"sulfur, burnt",908,925,1016,1273
hexanethiol,111-31-9,sulfur,908,925,1016,1273
heptanol,543-49-7,mushroom,908,925,1016,1273
methyl hexanoate,106-70-7,"fruit, fresh, sweet",917,1000,988,1188
methyldihydrofuranthiol,26486-13-5,meat,919,936,1027,1284
methylthiazoline,52558-99-3,garlic,919,936,1027,1438
2-ethylpyridine,100-71-0,grass,921,938,1029,1286
α-pinene,80-56-8,"pine, turpentine",926,939,945,1032
mercaptomethylpentanone,75832-79-0,black currant,927,944,1063,1368
methyl-p-xylene,95-63-6,plastic,928,945,1036,1293
ethyl 3-hydroxybutanoate,5405-41-4,marshmallow,928,935,1026,1524
butyl isothiocyanate,592-82-5,"sulfur, pungent, green",929,946,1037,1294
α-thujene,2867-05-2,"wood, green, herb",930,938,1029,1021
2-pentanol,6032-29-7,green,933,950,861,1118
2-hepten-1-al,2463-63-0,green,934,951,1042,1299
heptenal,18829-55-5,"soap, fat, almond",940,957,1062,1243
benzaldehyde,100-52-7,"almond, burnt sugar",943,960,1051,1495
heptanol,111-70-6,"chemical, green",945,962,1210,1467
methionol,505-10-2,"sweet, potato",945,978,1069,1723
octanone,106-68-3,"herb, butter, resin",948,965,1056,1244
dimethyl trisulfide,3658-80-8,"sulfur, fish, cabbage",949,974,1038,1377
3-mercaptothiophene,7774-73-4,cooked meat,950,967,1058,1315
ethyl isohexanoate,25415-67-2,fruit,951,968,924,1181
dimethylfuranthiol,55764-23-3,meat,951,968,1022,1279
4-methylthio-2-butanone,34047-39-7,fruit,952,969,1060,1317
methyldihydrothiophenone,13679-85-1,"cabbage, onion, must",952,998,1089,1506
filbertone,102322-83-8,"hazelnut, nut",955,972,1063,1287
mercaptomethylbutanol,34300-94-2,meat broth,955,972,1127,1655
octenone,4312-99-6,"mushroom, metal",956,976,1058,1313
(E)-2-penten-1-ol,1576-96-1,mushroom,956,973,1064,1321
camphene,79-92-5,camphor,957,953,1044,1075
octenol,3391-86-4,mushroom,958,982,1079,1394
5-methylfurfural,620-02-0,"almond, caramel, burnt sugar",961,978,1069,1560
phenol,108-95-2,phenol,963,980,1222,1479
methylisohexenyl ketone,110-93-0,"pepper, mushroom, rubber",965,974,1065,1336
octadienone,65767-22-8,"geranium, metal",966,983,1085,1282
sabinene,3387-41-5,"pepper, turpentine, wood",970,972,1003,1123
"1,5-octadien-3-ol",83861-74-9,"earth, herb",971,988,1079,1336
"1,5-octadienone",359794-78-8,"earth, must",971,988,1084,1341
